Unnamed: 0,book_id,cover_image_uri,book_title,book_details,format,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution,genre_rank
13092,17332218,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905768i/17332218.jpg,Words of Radiance,"Words of Radiance, Book Two of the Stormlight Archive, continues the immersive fantasy epic that The Way of Kings began.Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.The Assassin, Szeth, is active again, murdering rulers all over the world of Roshar, using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar, widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough, but the Assassin's master has much deeper motives.Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow. The secrets she needs can be found at the Shattered Plains, but just arriving there proves more difficult than she could have imagined.Meanwhile, at the heart of the Shattered Plains, the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks, their numbers ever shrinking, they are convinced by their war leader, Eshonai, to risk everything on a desperate gamble with the very supernatural forces they once fled. The possible consequences for Parshendi and humans alike, indeed, for Roshar itself, are as dangerous as they are incalculable.","['1087 pages, Hardcover']","['First published March 4, 2014']",https://www.goodreads.com/author/show/38550.Brandon_Sanderson,Brandon Sanderson,['1087'],"Adult, Audiobook, Fantasy, Fiction, Other",355368,21983,4.76,"{'5': '283,791', '4': '60,226', '3': '9,190', '2': '1,465', '1': '696'}",1
1833,24520,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388325762i/24520.jpg,The Complete Aubrey/Maturin Novels,"Patrick O’Brian’s twenty-one-volume Aubrey/Maturin series has delighted generations of devoted fans, inspired a blockbuster film, and sold millions of copies in twenty-four languages. These five omnibus volumes, beautifully produced and boxed, contain 7,000 pages of what has often been described as a single, continuous narrative. They are a perfect tribute for such a literary achievement, and a perfect gift for the O’Brian enthusiast.","['6576 pages, Hardcover']","['First published January 1, 1994']",https://www.goodreads.com/author/show/5600.Patrick_O_Brian,Patrick O'Brian,['6576'],"Adventure, Literature, Historical Fiction, Classics, Historical, Fiction, Other",2241,138,4.76,"{'5': '1,838', '4': '317', '3': '57', '2': '14', '1': '15'}",1
7963,862041,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1534298934i/862041.jpg,Harry Potter Series Box Set,"Over 4000 pages of Harry Potter and his world, including all 7 books.All seven eBooks in the multi-award winning, internationally bestselling Harry Potter series, available as one download with stunning cover art by Olly Moss. Enjoy the stories that have captured the imagination of millions worldwide.","['4100 pages, Hardcover']","['First published October 1, 2007']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['4100'],"Childrens, Adventure, Classics, Young Adult, Fantasy, Fiction, Other",288478,8383,4.74,"{'5': '232,835', '4': '41,580', '3': '9,860', '2': '2,060', '1': '2,143'}",1
1867,24812,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812.jpg,The Complete Calvin and Hobbes,"[ 
Box Set
 | Book One | Book Two | Book Three ]Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Composed of three hardcover, four-color volumes in a sturdy slipcase, this New York Times best-selling edition includes all Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all Calvin and Hobbes fans seek.","['1456 pages, Hardcover']","['First published September 6, 2005']",https://www.goodreads.com/author/show/13778.Bill_Watterson,Bill Watterson,['1456'],"Classics, Fiction, Other",40335,1190,4.81,"{'5': '34,805', '4': '4,062', '3': '963', '2': '281', '1': '224'}",1
14100,26148181,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1445205723i/26148181.jpg,Some Kind of Perfect,"Epilogue Novel of the Addicted/Calloway Sisters seriesFalling in love was just the beginning.The conclusion to the epic 10-book series about the unbreakable strength of family, friendship, and love.Lily and Lo are back one final time. Childhood best friends and soul mates.Ryke and Daisy are back one final time. Wild risk takers and flirty adventurers.Connor and Rose are back one final time. Genius rivals and intellectual teammates.Ten years of laughter. Of heartache. And love.","['664 pages, ebook']","['First published May 20, 2016']",https://www.goodreads.com/author/show/7056935.Krista_Ritchie,Krista Ritchie,['664'],"Contemporary, Adult, Audiobook, Romance, Fiction, Other",24697,4063,4.65,"{'5': '18,250', '4': '4,618', '3': '1,491', '2': '244', '1': '94'}",1
13135,17450513,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362292731i/17450513.jpg,Hunt for the Star,"“Victory is not judged by benevolence”A hero is not forged by the good deeds they commit, but rather by how many bad deeds they do whilst remaining true to the journey.The Eldon Star is the last remnant power of a long extinct dynasty of Dragon Deities. Tasked with retrieving it is the aging warrior, Artos Hestrom, who utilizes lies and deception just as frequently as blades and glory to procure who and what he wants.Standing in his way is the evil Sorcerer, Ruehl, who uses his minions to relentlessly scour the land for the crystal. Betrayals, challenges and the ever-lingering threat of death looms over the heroes as entire armies are drawn into the conflict.The world of Edoria is at war as the hunt for the Star begins…","['462 pages, Kindle Edition']","['First published February 16, 2013']",https://www.goodreads.com/author/show/6966878.Dane_Richter,Dane Richter,['462'],Fantasy,53,24,4.83,"{'5': '44', '4': '9', '3': '0', '2': '0', '1': '0'}",1
4836,143045,https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png,The Knights of King Midas,,"['160 pages, Hardcover']","['First published November 12, 1962']",https://www.goodreads.com/author/show/82640.Paul_Berna,Paul Berna,['160'],Fiction,6,2,4.83,"{'5': '5', '4': '1', '3': '0', '2': '0', '1': '0'}",1
15834,60044941,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679092053i/60044941.jpg,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,"BODY IN ABYSS, HEART IN PARADISEWhite No-Face, Xie Lian’s greatest fear and most hated enemy, has arrived…or so it seems. While the ghost with the half-crying, half-smiling mask is somewhere nearby, the creature is elusive as always, taunting Xie Lian from just out of reach and promising the total destruction of everything he holds dear.As Xie Lian confronts the trauma of his last encounter with the terrifying ghost, Hua Cheng will do anything in his power to protect him. But White No-Face’s identity and purpose are not the only mysteries to unravel, as Hua Cheng also has a history in the labyrinthine tunnels beneath Mount Tonglu. Will Xie Lian finally discover the full connection they share—and learn the true depths of Hua Cheng’s devotion?","['412 pages, Paperback']","['Published May 30, 2023']",https://www.goodreads.com/author/show/21718579.M_Xi_ng_T_ng_Xi_,Mò Xiāng Tóng Xiù,['412'],"Historical, Romance, Fantasy, Fiction, Other",9453,1098,4.82,"{'5': '7,966', '4': '1,263', '3': '198', '2': '19', '1': '7'}",1
4083,95602,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349032180i/95602.jpg,Mark of the Lion Trilogy,"This best-selling trilogy chronicles a tale of persecution and perseverance of 1st-century Christians in hedonistic Rome.#1 A Voice in the Wind: Torn by her love for a handsome aristocrat, a young slave girl clings to her faith in the living God for deliverance from the forces of decadent Rome. #2 An Echo in the Darkness: Turning away from the opulence of Rome, Marcus is led by a whispering voice from the past into a journey that could set him free from the darkness of his soul. #3 As Sure As the Dawn: Atretes. German warrior. Revered gladiator. He won his freedom through his fierceness . . . but his life is about to change forever.","['1468 pages, Paperback']","['First published January 1, 1993']",https://www.goodreads.com/author/show/6492.Francine_Rivers,Francine Rivers,['1468'],"Historical Fiction, Historical, Romance, Fiction, Other",13338,887,4.78,"{'5': '11,084', '4': '1,733', '3': '394', '2': '84', '1': '43'}",1
9131,2186848,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308879310i/2186848.jpg,"The Absolute Sandman, Volume 3","One of the most popular and critically acclaimed comic book titles of all time, New York Times best-selling author Neil Gaiman's masterpiece 
The Sandman
 set new standards for mature, lyrical fantasy and graphic narrative. Now, Vertigo and DC Comics are proud to present the third of four definitive Absolute Editions collecting this groundbreaking series in its entirety. 
The Absolute Sandman, Volume Three
 reprints issues 40-56 of 
The Sandman
 and The Sandman Special 1 and features remastered coloring prepared especially for this edition on issues 40-49 and the Special. This volume also includes an introduction by Jill Thompson (artist for 
The Sandman, Vol 7: Brief Lives
), a never-before-reprinted story by Gaiman and artist Michael Zulli, a complete reproduction of the one-shot The Endless Gallery as well as two additional 8-pages galleries, and the original script and thumbnail pencils by Gaiman and artist P. Craig Russell for the acclaimed story ""Ramadan"" from The Sandman 50.","['616 pages, Slipcased Hardcover']","['First published December 1, 1993']",https://www.goodreads.com/author/show/1221698.Neil_Gaiman,Neil Gaiman,['616'],"Horror, Fantasy, Fiction, Other",7908,200,4.69,"{'5': '5,988', '4': '1,461', '3': '385', '2': '58', '1': '16'}",1
